Município1;Código Município IBGE;UF1;Data;Média de Índice De Isolamento
AMERICANA;3501608;SP;domingo, 06/09;39%
AMERICANA;3501608;SP;sábado, 05/09;35%
AMERICANA;3501608;SP;sexta-feira, 04/09;34%
AMERICANA;3501608;SP;quinta-feira, 03/09;35%
AMERICANA;3501608;SP;quarta-feira, 02/09;33%
AMERICANA;3501608;SP;terça-feira, 01/09;35%
AMERICANA;3501608;SP;segunda-feira, 31/08;35%
AMERICANA;3501608;SP;domingo, 30/08;39%
AMERICANA;3501608;SP;sábado, 29/08;34%
AMERICANA;3501608;SP;sexta-feira, 28/08;35%
AMERICANA;3501608;SP;quinta-feira, 27/08;35%
AMERICANA;3501608;SP;quarta-feira, 26/08;36%
AMERICANA;3501608;SP;terça-feira, 25/08;35%
AMERICANA;3501608;SP;segunda-feira, 24/08;35%
AMERICANA;3501608;SP;domingo, 23/08;41%
AMERICANA;3501608;SP;sábado, 22/08;37%
AMERICANA;3501608;SP;sexta-feira, 21/08;36%
AMERICANA;3501608;SP;quinta-feira, 20/08;35%
AMERICANA;3501608;SP;quarta-feira, 19/08;35%
AMERICANA;3501608;SP;terça-feira, 18/08;37%
AMERICANA;3501608;SP;segunda-feira, 17/08;36%
AMERICANA;3501608;SP;domingo, 16/08;43%
AMERICANA;3501608;SP;sábado, 15/08;37%
AMERICANA;3501608;SP;sexta-feira, 14/08;36%
AMERICANA;3501608;SP;quinta-feira, 13/08;35%
AMERICANA;3501608;SP;quarta-feira, 12/08;38%
AMERICANA;3501608;SP;terça-feira, 11/08;39%
AMERICANA;3501608;SP;segunda-feira, 10/08;39%
AMERICANA;3501608;SP;domingo, 09/08;44%
AMERICANA;3501608;SP;sábado, 08/08;41%
AMERICANA;3501608;SP;sexta-feira, 07/08;37%
AMERICANA;3501608;SP;quinta-feira, 06/08;38%
AMERICANA;3501608;SP;quarta-feira, 05/08;38%
AMERICANA;3501608;SP;terça-feira, 04/08;39%
AMERICANA;3501608;SP;segunda-feira, 03/08;39%
AMERICANA;3501608;SP;domingo, 02/08;48%
AMERICANA;3501608;SP;sábado, 01/08;42%
AMERICANA;3501608;SP;sexta-feira, 31/07;39%
AMERICANA;3501608;SP;quinta-feira, 30/07;40%
AMERICANA;3501608;SP;quarta-feira, 29/07;39%
AMERICANA;3501608;SP;terça-feira, 28/07;39%
AMERICANA;3501608;SP;segunda-feira, 27/07;40%
AMERICANA;3501608;SP;domingo, 26/07;48%
AMERICANA;3501608;SP;sábado, 25/07;43%
AMERICANA;3501608;SP;sexta-feira, 24/07;38%
AMERICANA;3501608;SP;quinta-feira, 23/07;38%
